t,acc_X,acc_Y,acc_Z,gyr_X,gyr_Y,gyr_Z,mag_X,mag_Y,mag_Z,eul_heading,eul_roll,eul_pitch,quat_w,quat_x,quat_y,quat_z,lia_X,lia_Y,lia_Z,grv_X,grv_Y,grv_Z,temp
0.0,-0.36,2.78,9.35,0.0,-0.25,0.25,-32.1875,29.5625,-61.5625,360.0,-2.0625,-16.625,0.989258,0.144775,0.018555,0.0,0.0,-0.01,-0.02,-0.35,2.8,9.38,31
0.010903,-0.36,2.79,9.36,0.0,-0.1875,0.125,-32.1875,29.5625,-61.5625,360.0,-2.0625,-16.625,0.989258,0.144775,0.018555,0.0,0.0,-0.01,-0.04,-0.35,2.8,9.38,31
0.021806,-0.35,2.79,9.34,-0.1875,-0.1875,0.125,-32.1875,29.5625,-61.5625,360.0,-2.0625,-16.625,0.989258,0.144775,0.018555,0.0,0.0,-0.01,-0.04,-0.35,2.8,9.38,31
0.032709,-0.35,2.79,9.34,-0.3125,-0.125,0.125,-32.1875,29.5625,-61.5625,360.0,-2.0625,-16.625,0.989258,0.144775,0.018555,0.0,0.0,0.0,0.0,-0.35,2.8,9.38,31
0.043612,-0.35,2.8,9.38,0.0625,0.0,0.1875,-32.1875,29.5625,-61.5625,360.0,-2.0625,-16.625,0.989258,0.144775,0.018555,0.0,0.0,0.0,0.0,-0.35,2.8,9.38,31
0.054515,-0.35,2.77,9.36,0.0625,-0.0625,0.3125,-32.5625,30.6875,-62.0625,360.0,-2.0625,-16.625,0.989258,0.144775,0.018555,0.0,0.01,0.0,-0.03,-0.35,2.8,9.38,31
0.065418,-0.34,2.8,9.35,-0.125,-0.25,0.1875,-32.5625,30.6875,-62.0625,360.0,-2.0625,-16.625,0.989258,0.144775,0.018555,0.0,0.0,-0.02,-0.06,-0.35,2.8,9.38,31
0.076321,-0.35,2.78,9.32,0.0,-0.375,0.1875,-32.5625,30.6875,-62.0625,360.0,-2.0625,-16.625,0.989258,0.144775,0.018555,0.0,0.01,0.0,-0.03,-0.35,2.8,9.38,31
0.087224,-0.33,2.8,9.35,-0.25,-0.4375,0.125,-32.5625,30.6875,-62.0625,359.9375,-2.0625,-16.625,0.989258,0.144775,0.018555,0.0,0.01,0.0,-0.03,-0.35,2.8,9.38,31
0.098127,-0.34,2.81,9.35,-0.125,-0.625,0.125,-29.5625,28.75,-65.75,0.0,-2.0625,-16.625,0.989258,0.144775,0.018494,0.0,0.0,-0.01,-0.03,-0.35,2.8,9.38,31
0.10903,-0.35,2.79,9.35,0.0,-0.4375,0.0625,-29.5625,28.75,-65.75,0.0,-2.0625,-16.625,0.989258,0.144775,0.018494,0.0,0.0,0.0,-0.04,-0.35,2.8,9.38,31
0.119933,-0.34,2.8,9.34,0.0,-0.1875,0.1875,-29.5625,28.75,-65.75,0.0,-2.0625,-16.625,0.989258,0.144775,0.018494,0.0,0.0,-0.01,-0.04,-0.35,2.8,9.38,31
0.130836,-0.35,2.79,9.34,0.1875,0.0625,0.1875,-29.5625,28.75,-65.75,0.0,-2.0625,-16.625,0.989258,0.144775,0.018494,0.0,0.0,0.0,-0.04,-0.35,2.8,9.38,31
0.141739,-0.35,2.8,9.34,0.1875,0.125,0.3125,-29.5625,28.75,-65.75,0.0,-2.0625,-16.625,0.989258,0.144775,0.018494,0.0,-0.01,0.0,-0.03,-0.35,2.8,9.38,31
0.152642,-0.37,2.8,9.35,-0.25,-0.0625,0.1875,-31.375,29.875,-66.5625,0.0,-2.0625,-16.625,0.989258,0.144775,0.018494,0.0,0.0,0.02,-0.03,-0.35,2.8,9.38,31
0.163545,-0.34,2.83,9.35,0.125,-0.1875,0.1875,-31.375,29.875,-66.5625,0.0,-2.0625,-16.625,0.989258,0.144775,0.018494,0.0,0.01,-0.01,-0.03,-0.35,2.8,9.38,31
0.174448,-0.34,2.79,9.35,-0.0625,-0.1875,0.125,-31.375,29.875,-66.5625,0.0,-2.0625,-16.625,0.989258,0.144775,0.018494,0.0,0.0,-0.01,-0.04,-0.35,2.8,9.38,31
0.185351,-0.36,2.79,9.34,0.0625,-0.3125,0.3125,-31.375,29.875,-66.5625,0.0,-2.0625,-16.625,0.989258,0.144775,0.018494,0.0,0.01,-0.01,-0.03,-0.35,2.8,9.38,31
0.196254,-0.34,2.79,9.35,-0.0625,-0.4375,0.125,-31.375,29.875,-66.5625,0.0,-2.0625,-16.625,0.989258,0.144775,0.018494,0.0,-0.01,0.0,-0.04,-0.35,2.8,9.38,31
0.207157,-0.37,2.8,9.34,-0.0625,-0.1875,0.125,-29.5625,29.875,-65.375,0.0,-2.0625,-16.625,0.989258,0.144775,0.018494,0.0,0.0,-0.01,-0.02,-0.35,2.8,9.38,31
0.21806,-0.35,2.79,9.34,-0.0625,-0.125,0.25,-29.5625,29.875,-65.375,0.0,-2.0625,-16.625,0.989258,0.144775,0.018494,0.0,0.0,-0.01,-0.04,-0.35,2.8,9.38,31
