t,acc_X,acc_Y,acc_Z,gyr_X,gyr_Y,gyr_Z,mag_X,mag_Y,mag_Z,eul_heading,eul_roll,eul_pitch,quat_w,quat_x,quat_y,quat_z,lia_X,lia_Y,lia_Z,grv_X,grv_Y,grv_Z,temp
0.0,-0.32,3.21,9.3,-0.125,-0.1875,0.1875,0.375,78.75,-13.1875,0.0,-1.875,-19.0625,0.986084,0.165588,0.016846,0.0,0.0,0.0,0.0,-0.32,3.2,9.26,21
0.010961,-0.33,3.19,9.27,0.0,-0.1875,0.3125,0.375,78.75,-13.1875,0.0,-1.875,-19.0625,0.986084,0.165588,0.016846,0.0,0.0,0.01,0.04,-0.32,3.2,9.26,21
0.021921,-0.32,3.21,9.3,0.0625,-0.25,0.25,0.375,78.75,-13.1875,0.0,-1.875,-19.0625,0.986084,0.165588,0.016846,0.0,0.0,0.01,0.03,-0.32,3.2,9.26,21
0.032882,-0.33,3.21,9.29,-0.25,-0.3125,0.1875,0.375,78.75,-13.1875,0.0,-1.875,-19.0625,0.986084,0.165588,0.016846,0.0,0.0,0.0,0.04,-0.32,3.2,9.26,21
0.043842,-0.33,3.2,9.3,-0.0625,0.0,0.1875,1.875,78.75,-14.0,0.0,-1.875,-19.0625,0.986084,0.165588,0.016846,0.0,0.0,-0.01,0.05,-0.32,3.2,9.26,21
0.054803,-0.32,3.18,9.31,-0.25,-0.1875,0.125,1.875,78.75,-14.0,0.0,-1.875,-19.0625,0.986084,0.165588,0.016846,0.0,0.0,0.02,0.03,-0.32,3.2,9.26,21
0.065763,-0.31,3.22,9.29,-0.0625,-0.25,0.125,1.875,78.75,-14.0,0.0,-1.875,-19.0625,0.986084,0.165588,0.016846,0.0,0.0,-0.01,0.07,-0.32,3.2,9.26,21
0.076724,-0.33,3.18,9.33,0.0,-0.125,0.1875,1.875,78.75,-14.0,0.0,-1.875,-19.0625,0.986084,0.165588,0.016846,0.0,0.0,0.0,0.06,-0.32,3.2,9.26,21
0.087684,-0.32,3.19,9.33,-0.1875,-0.125,0.25,4.875,77.375,-15.875,0.0,-1.875,-19.0625,0.986084,0.165588,0.016846,0.0,0.0,0.01,0.02,-0.32,3.2,9.26,21
0.098645,-0.32,3.21,9.28,-0.0625,-0.3125,0.25,4.875,77.375,-15.875,0.0,-1.875,-19.0625,0.986084,0.165588,0.016846,0.0,0.0,0.01,0.01,-0.32,3.2,9.26,21
0.109605,-0.31,3.21,9.27,-0.125,-0.25,0.25,4.875,77.375,-15.875,360.0,-1.875,-19.0625,0.986084,0.165588,0.016846,0.0,0.01,0.0,0.03,-0.32,3.2,9.26,21
0.120566,-0.31,3.2,9.29,-0.25,-0.25,0.1875,4.875,77.375,-15.875,360.0,-1.875,-19.0625,0.986084,0.165588,0.016846,0.0,-0.01,0.0,0.03,-0.32,3.2,9.26,21
