t,ADC0,ADC1
0.0,8264,8308
0.0001,8269,8295
0.0002,8236,8278
0.000301,8274,8296
0.000401,8261,8312
0.000501,8226,8296
0.000601,8239,8277
0.000702,8232,8293
0.000802,8233,8306
0.000902,8216,8292
0.001002,8243,8316
0.001103,8196,8275
0.001203,8226,8308
0.001303,8222,8315
0.001403,8220,8303
0.001504,8216,8295
0.001604,8180,8276
0.001704,8215,8312
0.001804,8217,8311
0.001904,8178,8285
0.002005,8174,8271
0.002105,8171,8294
0.002205,8154,8278
0.002305,8181,8293
0.002406,8140,8273
0.002506,8164,8281
0.002606,8184,8305
0.002706,8168,8297
0.002807,8136,8278
0.002907,8151,8284
0.003007,8148,8299
0.003107,8137,8275
0.003208,8139,8281
0.003308,8146,8291
0.003408,8149,8290
0.003508,8127,8279
0.003608,8164,8309
0.003709,8150,8305
0.003809,8133,8280
0.003909,8144,8290
0.004009,8131,8267
0.00411,8153,8296
0.00421,8143,8286
0.00431,8132,8285
0.00441,8148,8270
0.004511,8173,8312
0.004611,8157,8292
0.004711,8151,8279
0.004811,8151,8284
0.004911,8162,8302
0.005012,8176,8304
0.005112,8158,8289
0.005212,8162,8284
0.005312,8177,8314
0.005413,8158,8291
0.005513,8168,8300
0.005613,8161,8299
0.005713,8162,8287
0.005814,8144,8284
0.005914,8149,8280
0.006014,8155,8271
0.006114,8187,8313
0.006215,8186,8317
0.006315,8174,8283
0.006415,8184,8309
0.006515,8170,8292
0.006615,8191,8326
0.006716,8187,8307
0.006816,8172,8277
0.006916,8178,8275
0.007016,8209,8311
0.007117,8171,8280
0.007217,8185,8284
0.007317,8185,8289
0.007417,8186,8290
0.007518,8190,8278
0.007618,8195,8281
0.007718,8188,8285
0.007818,8220,8306
0.007919,8210,8279
0.008019,8197,8284
0.008119,8196,8275
0.008219,8197,8292
0.008319,8232,8296
0.00842,8214,8272
0.00852,8232,8289
0.00862,8192,8282
0.00872,8213,8286
0.008821,8221,8284
0.008921,8227,8279
0.009021,8226,8290
0.009121,8252,8293
0.009222,8255,8303
0.009322,8244,8302
0.009422,8226,8290
0.009522,8232,8296
0.009623,8258,8294
0.009723,8261,8300
0.009823,8248,8282
0.009923,8252,8286
0.010023,8273,8288
0.010124,8263,8293
0.010224,8261,8274
0.010324,8289,8308
0.010424,8268,8294
0.010525,8257,8266
0.010625,8268,8302
0.010725,8276,8278
0.010825,8274,8276
0.010926,8269,8279
0.011026,8297,8310
0.011126,8318,8315
0.011226,8279,8264
0.011327,8279,8290
0.011427,8301,8291
0.011527,8319,8296
0.011627,8290,8270
0.011727,8305,8282
0.011828,8306,8275
0.011928,8305,8283
0.012028,8310,8288
0.012128,8296,8282
0.012229,8346,8309
0.012329,8330,8300
0.012429,8335,8291
0.012529,8313,8271
0.01263,8308,8279
0.01273,8353,8307
0.01283,8333,8295
0.01293,8364,8312
0.01303,8359,8294
0.013131,8340,8296
0.013231,8340,8291
0.013331,8361,8298
0.013431,8332,8274
0.013532,8359,8299
0.013632,8367,8296
0.013732,8387,8308
0.013832,8351,8280
0.013933,8350,8268
0.014033,8346,8276
0.014133,8375,8283
0.014233,8376,8280
0.014334,8352,8273
0.014434,8388,8300
0.014534,8382,8296
0.014634,8373,8283
0.014734,8369,8291
0.014835,8374,8292
0.014935,8398,8292
0.015035,8378,8291
0.015135,8375,8283
0.015236,8395,8303
0.015336,8392,8287
0.015436,8392,8304
0.015536,8375,8280
0.015637,8394,8303
0.015737,8394,8287
0.015837,8404,8293
0.015937,8396,8284
0.016038,8396,8293
0.016138,8381,8281
0.016238,8399,8309
0.016338,8373,8265
0.016438,8382,8275
0.016539,8388,8300
0.016639,8379,8282
0.016739,8374,8302
0.016839,8383,8296
0.01694,8392,8298
0.01704,8374,8308
0.01714,8365,8273
0.01724,8363,8280
0.017341,8369,8302
0.017441,8360,8299
0.017541,8369,8293
0.017641,8372,8290
0.017742,8361,8293
0.017842,8359,8296
0.017942,8348,8294
0.018042,8332,8269
0.018142,8339,8284
0.018243,8329,8288
0.018343,8316,8276
0.018443,8339,8304
0.018543,8327,8273
0.018644,8324,8285
0.018744,8334,8303
0.018844,8306,8283
0.018944,8306,8267
0.019045,8291,8276
0.019145,8330,8312
0.019245,8303,8295
0.019345,8304,8293
0.019446,8306,8293
0.019546,8319,8310
0.019646,8285,8291
0.019746,8301,8300
0.019846,8278,8272
0.019947,8290,8310
0.020047,8285,8289
0.020147,8261,8297
0.020247,8247,8269
0.020348,8251,8286
0.020448,8265,8307
0.020548,8252,8303
0.020648,8249,8296
0.020749,8237,8302
0.020849,8202,8279
0.020949,8237,8284
0.021049,8223,8286
0.02115,8194,8272
0.02125,8214,8280
0.02135,8188,8269
0.02145,8188,8280
0.02155,8228,8308
0.021651,8172,8270
0.021751,8169,8278
0.021851,8159,8268
0.021951,8164,8277
0.022052,8184,8280
0.022152,8202,8310
0.022252,8159,8286
0.022352,8163,8282
0.022453,8178,8288
0.022553,8148,8272
0.022653,8148,8291
0.022753,8147,8276
0.022853,8137,8290
0.022954,8165,8305
0.023054,8157,8297
0.023154,8139,8288
0.023254,8139,8286
0.023355,8133,8285
0.023455,8138,8282
0.023555,8144,8283
0.023655,8143,8279
0.023756,8145,8290
0.023856,8172,8311
0.023956,8150,8295
0.024056,8125,8268
0.024157,8143,8287
0.024257,8150,8287
0.024357,8139,8290
0.024457,8171,8296
0.024557,8137,8279
0.024658,8149,8293
0.024758,8171,8308
0.024858,8148,8282
0.024958,8149,8269
0.025059,8166,8295
0.025159,8152,8282
0.025259,8176,8299
0.025359,8150,8282
0.02546,8180,8297
0.02556,8163,8291
0.02566,8180,8293
0.02576,8153,8281
0.025861,8162,8283
0.025961,8160,8285
0.026061,8172,8295
0.026161,8150,8276
0.026261,8189,8287
0.026362,8176,8300
0.026462,8197,8315
0.026562,8170,8281
0.026662,8169,8294
0.026763,8187,8303
0.026863,8212,8308
0.026963,8216,8296
0.027063,8190,8279
0.027164,8198,8286
0.027264,8172,8274
0.027364,8196,8301
0.027464,8189,8286
0.027565,8164,8267
0.027665,8188,8301
0.027765,8190,8273
0.027865,8194,8278
0.027965,8189,8285
0.028066,8223,8293
0.028166,8217,8295
0.028266,8190,8280
0.028366,8218,8272
0.028467,8201,8274
0.028567,8200,8281
0.028667,8232,8295
0.028767,8233,8305
0.028868,8232,8283
0.028968,8218,8277
0.029068,8202,8279
0.029168,8235,8297
0.029269,8220,8270
0.029369,8234,8291
0.029469,8254,8316
0.029569,8262,8300
0.029669,8245,8308
0.02977,8264,8292
0.02987,8250,8297
0.02997,8243,8276
0.03007,8266,8312
0.030171,8272,8301
0.030271,8258,8286
0.030371,8284,8314
0.030471,8250,8284
0.030572,8262,8279
0.030672,8261,8283
0.030772,8276,8292
0.030872,8271,8275
0.030972,8274,8276
0.031073,8254,8273
0.031173,8281,8278
0.031273,8301,8312
0.031373,8299,8288
0.031474,8289,8286
0.031574,8299,8281
0.031674,8297,8289
0.031774,8305,8290
0.031875,8278,8266
0.031975,8297,8280
0.032075,8302,8280
0.032175,8306,8290
0.032276,8300,8267
0.032376,8328,8285
0.032476,8315,8273
0.032576,8301,8273
0.032676,8313,8293
0.032777,8315,8280
0.032877,8346,8293
0.032977,8334,8283
0.033077,8330,8288
0.033178,8323,8263
0.033278,8359,8290
0.033378,8343,8301
0.033478,8369,8302
0.033579,8374,8311
0.033679,8348,8286
0.033779,8347,8296
0.033879,8337,8279
0.03398,8369,8293
0.03408,8359,8292
0.03418,8374,8296
0.03428,8359,8271
0.03438,8375,8278
0.034481,8384,8302
0.034581,8370,8276
0.034681,8385,8302
0.034781,8375,8284
0.034882,8381,8300
0.034982,8380,8293
0.035082,8368,8285
0.035182,8371,8276
0.035283,8401,8298
0.035383,8371,8279
0.035483,8421,8306
0.035583,8377,8278
0.035684,8403,8291
0.035784,8393,8288
0.035884,8392,8289
0.035984,8389,8286
0.036084,8390,8295
0.036185,8395,8301
0.036285,8392,8296
0.036385,8414,8295
0.036485,8390,8287
0.036586,8403,8311
0.036686,8381,8290
0.036786,8384,8296
0.036886,8376,8282
0.036987,8400,8301
0.037087,8381,8286
0.037187,8375,8283
0.037287,8384,8300
0.037388,8375,8295
0.037488,8360,8270
0.037588,8367,8281
0.037688,8368,8285
0.037788,8364,8286
0.037889,8381,8301
0.037989,8354,8294
0.038089,8350,8290
0.038189,8345,8288
0.03829,8332,8283
0.03839,8346,8295
0.03849,8331,8279
0.03859,8326,8270
0.038691,8317,8289
0.038791,8338,8303
0.038891,8313,8273
0.038991,8322,8312
