t,X,Y,Z
0.0,0.0625,0.0,1.0
0.000326,0.03125,-0.078125,0.945312
0.000652,0.070312,-0.039062,0.945312
0.000978,0.03125,-0.0625,1.015625
0.001304,0.046875,-0.046875,0.976562
0.00163,0.039062,-0.070312,0.984375
0.001956,0.054688,-0.085938,1.015625
0.002281,0.007812,-0.039062,1.0
0.002607,0.015625,-0.070312,1.015625
0.002933,0.070312,-0.0625,0.992188
0.003259,0.0625,-0.09375,0.992188
0.003585,0.0625,-0.046875,0.992188
0.003911,0.0625,-0.054688,0.992188
0.004237,0.054688,-0.03125,0.960938
0.004563,0.046875,-0.070312,0.984375
0.004889,0.070312,-0.078125,0.96875
0.005215,0.070312,-0.054688,1.0
0.005541,0.03125,-0.070312,1.023438
0.005867,0.023438,-0.03125,1.0
0.006193,0.023438,-0.054688,0.9375
0.006519,0.039062,-0.09375,0.992188
0.006844,0.03125,-0.101562,1.0
0.00717,0.085938,-0.070312,0.976562
0.007496,0.0,-0.03125,0.96875
0.007822,0.054688,-0.039062,1.015625
0.008148,0.03125,-0.078125,1.0
0.008474,0.039062,-0.0625,0.992188
0.0088,0.039062,-0.078125,0.9375
0.009126,0.0625,-0.070312,0.984375
0.009452,0.039062,-0.0625,0.960938
0.009778,0.039062,-0.085938,0.960938
0.010104,0.015625,-0.09375,0.992188
0.01043,0.054688,-0.070312,0.992188
0.010756,0.03125,-0.09375,0.976562
0.011082,0.023438,-0.054688,1.0
0.011407,0.101562,-0.0625,0.976562
0.011733,0.03125,-0.0625,0.976562
0.012059,0.023438,-0.101562,1.0
0.012385,0.023438,-0.101562,1.007812
0.012711,0.070312,-0.078125,1.0
0.013037,0.03125,-0.0625,0.976562
0.013363,0.054688,-0.039062,0.984375
0.013689,0.03125,-0.046875,0.976562
0.014015,0.03125,-0.070312,0.984375
0.014341,0.03125,-0.023438,0.984375
0.014667,0.078125,-0.09375,0.929688
0.014993,0.046875,-0.0625,0.984375
0.015319,0.054688,-0.101562,0.929688
0.015645,0.023438,-0.085938,0.960938
0.01597,0.03125,-0.078125,1.0
0.016296,0.039062,-0.0625,0.984375
0.016622,0.0,-0.09375,0.992188
0.016948,0.039062,-0.078125,0.992188
0.017274,0.039062,-0.070312,1.007812
0.0176,0.039062,-0.054688,0.984375
0.017926,0.03125,-0.09375,1.0
0.018252,0.0,-0.0625,0.960938
0.018578,0.03125,-0.0625,0.992188
0.018904,0.015625,-0.070312,1.023438
0.01923,0.054688,-0.0625,0.984375
0.019556,0.0625,-0.046875,0.992188
0.019882,0.0625,-0.070312,0.984375
0.020207,0.046875,-0.046875,0.984375
0.020533,0.09375,-0.09375,0.929688
0.020859,0.03125,-0.09375,1.007812
0.021185,0.03125,-0.078125,1.0
0.021511,0.0625,-0.085938,1.007812
0.021837,0.046875,-0.09375,0.976562
0.022163,0.03125,-0.039062,0.976562
0.022489,0.0,-0.023438,0.976562
0.022815,0.054688,-0.0625,0.992188
0.023141,0.070312,-0.0625,0.96875
0.023467,0.039062,-0.046875,0.96875
0.023793,0.0625,-0.09375,0.992188
0.024119,0.046875,-0.078125,0.992188
0.024445,0.054688,-0.085938,0.9375
0.02477,0.03125,-0.054688,1.015625
0.025096,0.03125,-0.078125,1.0
0.025422,0.054688,-0.070312,0.96875
0.025748,0.007812,-0.03125,0.960938
0.026074,0.0,-0.039062,1.0
0.0264,0.039062,-0.0625,0.96875
0.026726,0.054688,-0.054688,0.992188
0.027052,0.070312,-0.070312,0.984375
0.027378,0.039062,-0.078125,1.0
0.027704,0.007812,-0.070312,0.960938
0.02803,0.070312,-0.078125,1.015625
0.028356,0.046875,-0.101562,1.0
0.028682,0.054688,-0.0625,0.976562
0.029008,0.0625,-0.0625,0.992188
0.029333,0.054688,-0.117188,1.0
0.029659,0.015625,-0.054688,0.976562
0.029985,0.054688,-0.0625,0.992188
0.030311,0.039062,-0.0625,1.0
0.030637,0.046875,-0.0625,0.992188
0.030963,0.039062,-0.039062,0.992188
0.031289,0.039062,-0.0625,0.984375
0.031615,0.023438,-0.0625,0.992188
0.031941,0.054688,-0.046875,0.96875
0.032267,0.023438,-0.054688,0.992188
0.032593,0.0625,-0.0625,1.023438
0.032919,0.0625,-0.109375,0.992188
0.033245,0.054688,-0.078125,0.984375
0.033571,0.039062,-0.070312,0.992188
0.033896,0.0,-0.039062,1.039062
0.034222,0.007812,-0.09375,1.054688
0.034548,0.023438,-0.109375,1.03125
0.034874,0.039062,-0.046875,1.015625
0.0352,0.039062,0.0,0.960938
0.035526,0.101562,-0.007812,0.984375
0.035852,0.039062,-0.085938,0.984375
0.036178,0.070312,-0.054688,1.0
0.036504,0.054688,-0.117188,1.03125
0.03683,0.054688,-0.0625,0.96875
0.037156,0.078125,-0.046875,0.984375
0.037482,0.0625,-0.09375,0.96875
0.037808,0.0625,-0.070312,0.984375
0.038133,0.03125,-0.070312,0.945312
0.038459,0.03125,-0.078125,1.0
0.038785,0.023438,-0.09375,0.976562
0.039111,0.0625,-0.085938,0.960938
0.039437,0.0625,-0.09375,0.976562
0.039763,0.03125,-0.054688,1.0
0.040089,0.03125,-0.09375,0.992188
0.040415,0.039062,-0.054688,0.953125
0.040741,0.070312,-0.039062,1.0
0.041067,0.085938,-0.0625,0.945312
0.041393,0.023438,-0.046875,1.007812
0.041719,0.070312,-0.046875,0.992188
0.042045,0.039062,-0.046875,0.992188
0.042371,0.039062,-0.046875,0.984375
0.042696,0.0,-0.078125,0.992188
0.043022,0.03125,-0.046875,1.007812
0.043348,0.039062,-0.054688,0.992188
0.043674,0.085938,-0.070312,0.992188
0.044,0.0,-0.023438,0.992188
0.044326,0.0,-0.078125,1.015625
0.044652,0.0625,-0.078125,0.96875
0.044978,0.03125,-0.070312,0.960938
0.045304,0.007812,-0.0625,0.992188
0.04563,0.015625,-0.0625,0.945312
0.045956,0.015625,-0.039062,0.984375
0.046282,0.054688,-0.078125,1.0
0.046608,0.054688,-0.101562,0.960938
0.046934,0.023438,-0.0625,1.007812
0.047259,0.054688,-0.078125,1.007812
0.047585,0.03125,-0.054688,1.0
0.047911,0.0,-0.046875,0.960938
0.048237,0.0,-0.085938,0.96875
0.048563,0.03125,-0.070312,1.015625
0.048889,0.046875,-0.039062,0.96875
0.049215,0.03125,-0.09375,0.945312
0.049541,0.046875,-0.046875,0.9375
0.049867,0.0625,-0.0625,0.984375
0.050193,0.023438,-0.0625,0.976562
0.050519,0.070312,-0.117188,1.0
0.050845,0.023438,-0.085938,0.984375
0.051171,0.023438,-0.09375,0.96875
0.051497,0.054688,-0.054688,1.0
0.051822,0.015625,-0.09375,1.023438
