t,acc_X,acc_Y,acc_Z,gyr_X,gyr_Y,gyr_Z,mag_X,mag_Y,mag_Z,eul_heading,eul_roll,eul_pitch,quat_w,quat_x,quat_y,quat_z,lia_X,lia_Y,lia_Z,grv_X,grv_Y,grv_Z,temp
0.0,0.11,-0.07,9.3,-0.0625,0.0,-0.0625,-22.875,-10.75,-96.6875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13,-0.07,-0.48,0.0,0.0,9.8,26
0.010011,0.13,-0.07,9.32,0.0,-0.1875,0.1875,-22.875,-10.75,-96.6875,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.01,-0.5,0.13,-0.07,9.8,26
0.020021,0.12,-0.06,9.29,0.125,-0.1875,0.0625,-22.875,-10.75,-96.6875,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,-0.02,-0.51,0.13,-0.07,9.8,26
0.030032,0.12,-0.1,9.29,0.0,-0.1875,0.125,-22.875,-10.75,-96.6875,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,-0.01,-0.48,0.13,-0.07,9.8,26
0.040042,0.12,-0.08,9.31,-0.0625,0.0,0.125,-22.875,-10.75,-96.6875,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,-0.01,-0.48,0.13,-0.07,9.8,26
0.050053,0.1,-0.07,9.28,-0.0625,-0.1875,0.25,-22.5625,-11.0625,-95.875,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,-0.01,-0.48,0.13,-0.07,9.8,26
0.060064,0.12,-0.08,9.31,0.0,-0.25,0.0625,-22.5625,-11.0625,-95.875,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,-0.03,-0.52,0.13,-0.07,9.8,26
0.070074,0.11,-0.1,9.27,0.0,-0.1875,0.125,-22.5625,-11.0625,-95.875,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,0.01,-0.51,0.13,-0.07,9.8,26
0.080085,0.12,-0.05,9.29,0.0,-0.1875,-0.0625,-22.5625,-11.0625,-95.875,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.01,-0.48,0.13,-0.07,9.8,26
0.090096,0.13,-0.05,9.31,0.0,-0.3125,0.0625,-22.5625,-11.0625,-95.875,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.01,-0.48,0.13,-0.07,9.8,26
0.100106,0.13,-0.08,9.31,-0.0625,-0.1875,0.125,-22.5625,-8.875,-95.0625,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.5,0.13,-0.07,9.8,26
0.110117,0.12,-0.07,9.3,0.0,-0.0625,0.0625,-22.5625,-8.875,-95.0625,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,-0.01,-0.52,0.13,-0.07,9.8,26
0.120127,0.12,-0.08,9.27,-0.125,-0.1875,0.1875,-22.5625,-8.875,-95.0625,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.5,0.13,-0.07,9.8,26
0.130138,0.12,-0.08,9.29,0.0625,-0.0625,0.0,-22.5625,-8.875,-95.0625,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.52,0.13,-0.07,9.8,26
0.140149,0.13,-0.07,9.28,-0.125,-0.125,0.0625,-22.5625,-8.875,-95.0625,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.52,0.13,-0.07,9.8,26
0.150159,0.12,-0.08,9.31,-0.0625,-0.3125,0.125,-21.75,-8.875,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,-0.01,-0.53,0.13,-0.07,9.8,26
0.16017,0.12,-0.09,9.26,-0.0625,-0.25,0.0625,-21.75,-8.875,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.47,0.13,-0.07,9.8,26
0.17018,0.13,-0.07,9.32,-0.0625,-0.3125,0.125,-21.75,-8.875,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.47,0.13,-0.07,9.8,26
0.180191,0.12,-0.08,9.35,0.125,-0.0625,0.1875,-21.75,-8.875,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,0.0,-0.44,0.13,-0.07,9.8,26
0.190202,0.13,-0.09,9.28,-0.125,-0.0625,0.0625,-21.75,-8.875,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,-0.02,-0.51,0.13,-0.07,9.8,26
0.200212,0.11,-0.07,9.29,0.0625,-0.25,0.125,-21.375,-9.6875,-95.0625,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.02,0.0,-0.5,0.13,-0.07,9.8,26
0.210223,0.12,-0.09,9.27,0.0,-0.1875,0.125,-21.375,-9.6875,-95.0625,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,-0.02,-0.53,0.13,-0.07,9.8,26
0.220233,0.14,-0.06,9.27,0.0625,-0.3125,0.0,-21.375,-9.6875,-95.0625,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.52,0.13,-0.07,9.8,26
0.230244,0.15,-0.08,9.31,-0.0625,-0.125,0.125,-21.375,-9.6875,-95.0625,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.01,-0.01,-0.48,0.13,-0.07,9.8,26
0.240255,0.12,-0.08,9.29,-0.125,-0.0625,0.125,-21.375,-9.6875,-95.0625,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,-0.01,-0.51,0.13,-0.07,9.8,26
0.250265,0.13,-0.05,9.32,-0.0625,-0.1875,0.0625,-22.5625,-9.25,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.02,-0.48,0.13,-0.07,9.8,26
0.260276,0.12,-0.07,9.28,-0.0625,-0.3125,0.125,-22.5625,-9.25,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,0.0,-0.51,0.13,-0.07,9.8,26
0.270287,0.16,-0.07,9.3,-0.0625,0.0,0.0625,-22.5625,-9.25,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.02,0.0,-0.49,0.13,-0.07,9.8,26
0.280297,0.13,-0.06,9.32,-0.0625,-0.125,0.125,-22.5625,-9.25,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.01,-0.47,0.13,-0.07,9.8,26
0.290308,0.14,-0.08,9.32,-0.0625,-0.3125,0.0625,-22.5625,-9.25,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.01,-0.01,-0.48,0.13,-0.07,9.8,26
0.300318,0.12,-0.08,9.32,-0.125,-0.125,0.125,-21.375,-8.875,-96.375,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,-0.01,-0.47,0.13,-0.07,9.8,26
0.310329,0.11,-0.04,9.28,-0.0625,-0.1875,0.0625,-21.375,-8.875,-96.375,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,0.03,-0.52,0.13,-0.07,9.8,26
0.32034,0.12,-0.07,9.27,0.0,-0.1875,0.125,-21.375,-8.875,-96.375,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.52,0.13,-0.07,9.8,26
0.33035,0.14,-0.06,9.28,-0.125,-0.1875,0.0625,-21.375,-8.875,-96.375,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.01,0.0,-0.52,0.13,-0.07,9.8,26
0.340361,0.13,-0.08,9.31,-0.0625,-0.0625,0.125,-21.375,-8.875,-96.375,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.48,0.13,-0.07,9.8,26
0.350371,0.13,-0.08,9.3,-0.0625,-0.25,0.1875,-22.5625,-8.875,-96.0,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.5,0.13,-0.07,9.8,26
0.360382,0.13,-0.07,9.27,-0.0625,-0.1875,-0.0625,-22.5625,-8.875,-96.0,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.52,0.13,-0.07,9.8,26
0.370393,0.11,-0.05,9.27,-0.0625,-0.0625,0.0625,-22.5625,-8.875,-96.0,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,0.01,-0.52,0.13,-0.07,9.8,26
0.380403,0.13,-0.08,9.28,-0.0625,0.0,0.0,-22.5625,-8.875,-96.0,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,-0.01,-0.52,0.13,-0.07,9.8,26
0.390414,0.12,-0.07,9.32,0.0,-0.1875,0.125,-22.5625,-8.875,-96.0,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.48,0.13,-0.07,9.8,26
0.400424,0.12,-0.07,9.31,-0.125,-0.0625,0.0625,-22.875,-8.875,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,0.0,-0.48,0.13,-0.07,9.8,26
0.410435,0.14,-0.09,9.33,0.0,-0.1875,0.125,-22.875,-8.875,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.01,-0.02,-0.47,0.13,-0.07,9.8,26
0.420446,0.13,-0.07,9.25,-0.125,-0.0625,0.0625,-22.875,-8.875,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.55,0.13,-0.07,9.8,26
0.430456,0.13,-0.08,9.28,-0.125,0.0,0.1875,-22.875,-8.875,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.51,0.13,-0.07,9.8,26
0.440467,0.14,-0.09,9.29,-0.0625,-0.125,0.0,-22.875,-8.875,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,-0.02,-0.51,0.13,-0.07,9.8,26
0.450478,0.13,-0.08,9.29,0.0,-0.25,0.0625,-21.75,-9.25,-96.375,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.51,0.13,-0.07,9.8,26
0.460488,0.12,-0.06,9.29,-0.0625,-0.1875,0.0,-21.75,-9.25,-96.375,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.01,-0.5,0.13,-0.07,9.8,26
0.470499,0.14,-0.07,9.31,-0.125,-0.1875,0.1875,-21.75,-9.25,-96.375,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.01,0.0,-0.49,0.13,-0.07,9.8,26
0.480509,0.14,-0.08,9.27,-0.0625,-0.125,0.125,-21.75,-9.25,-96.375,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.01,0.0,-0.52,0.13,-0.07,9.8,26
0.49052,0.14,-0.08,9.27,0.0,-0.25,0.125,-21.75,-9.25,-96.375,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,0.01,-0.5,0.13,-0.07,9.8,26
0.500531,0.12,-0.06,9.29,0.0,-0.1875,0.125,-22.5625,-8.5625,-96.0,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.49,0.13,-0.07,9.8,26
0.510541,0.12,-0.06,9.32,0.0,-0.0625,0.125,-22.5625,-8.5625,-96.0,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,0.0,-0.47,0.13,-0.07,9.8,26
0.520552,0.12,-0.06,9.32,-0.0625,-0.125,0.1875,-22.5625,-8.5625,-96.0,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,-0.01,-0.51,0.13,-0.07,9.8,26
0.530562,0.12,-0.08,9.28,0.0,-0.1875,0.1875,-22.5625,-8.5625,-96.0,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.53,0.13,-0.07,9.8,26
0.540573,0.12,-0.07,9.26,-0.0625,-0.0625,0.1875,-22.5625,-8.5625,-96.0,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,0.0,-0.53,0.13,-0.07,9.8,26
0.550584,0.12,-0.07,9.27,0.0,-0.1875,-0.125,-22.5625,-9.25,-95.5625,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,0.0,-0.48,0.13,-0.07,9.8,26
0.560594,0.11,-0.08,9.31,-0.125,0.0,0.0625,-22.5625,-9.25,-95.5625,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.48,0.13,-0.07,9.8,26
0.570605,0.13,-0.07,9.31,-0.0625,-0.125,0.0625,-22.5625,-9.25,-95.5625,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,-0.01,-0.51,0.13,-0.07,9.8,26
0.580615,0.13,-0.08,9.29,-0.0625,0.0,0.125,-22.5625,-9.25,-95.5625,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,-0.01,-0.53,0.13,-0.07,9.8,26
0.590626,0.12,-0.08,9.26,-0.1875,-0.125,0.0625,-22.5625,-9.25,-95.5625,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,-0.01,-0.51,0.13,-0.07,9.8,26
0.600637,0.12,-0.09,9.29,-0.0625,-0.0625,0.0625,-21.0625,-8.5625,-95.25,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,-0.01,-0.52,0.13,-0.07,9.8,26
0.610647,0.12,-0.09,9.28,0.0625,0.0625,0.0,-21.0625,-8.5625,-95.25,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,0.0,-0.5,0.13,-0.07,9.8,26
0.620658,0.11,-0.06,9.29,0.0,-0.0625,0.125,-21.0625,-8.5625,-95.25,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,0.0,-0.52,0.13,-0.07,9.8,26
0.630669,0.11,-0.07,9.28,-0.0625,-0.125,-0.0625,-21.0625,-8.5625,-95.25,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.01,0.0,-0.49,0.13,-0.07,9.8,26
0.640679,0.14,-0.07,9.3,-0.0625,-0.0625,0.0,-21.0625,-8.5625,-95.25,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.01,-0.01,-0.54,0.13,-0.07,9.8,26
0.65069,0.14,-0.08,9.25,0.0,0.0625,0.0625,-23.25,-8.5625,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.48,0.13,-0.07,9.8,26
0.6607,0.12,-0.07,9.32,0.0,0.0625,0.0625,-23.25,-8.5625,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.48,0.13,-0.07,9.8,26
0.670711,0.14,-0.07,9.31,0.0625,0.0,-0.0625,-23.25,-8.5625,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.0,-0.51,0.13,-0.07,9.8,26
0.680722,0.13,-0.07,9.28,0.1875,-0.25,0.1875,-23.25,-8.5625,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,0.0,0.01,-0.52,0.13,-0.07,9.8,26
0.690732,0.13,-0.05,9.28,0.0625,0.125,0.0,-23.25,-8.5625,-94.75,360.0,0.75,0.375,0.999939,-0.003723,-0.006958,0.0,-0.01,0.01,-0.51,0.13,-0.07,9.8,26
